Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592726094569 0.2735329900389463 -0.20979295834329642 -1.8246433080709463 
1592726094579 0.27311859883282585 -0.2090624494077701 -1.8241079168640255 
1592726094589 0.2726656755233796 -0.20829032386909838 -1.8233875221108145 
1592726094599 0.27223277731224566 -0.20718021093885997 -1.8225418076829738 
1592726094609 0.27198195458126084 -0.20527189656714714 -1.821498208622981 
1592726094619 0.2728275709258778 -0.20144053088084984 -1.8203254672017135 
1592726094628 0.2752577387543706 -0.19545371589094934 -1.819387947940185 
1592726094639 0.2788032153858495 -0.1883065475927893 -1.8185444592903592 
1592726094649 0.2828669181752284 -0.18063635134399564 -1.8175299580312312 
1592726094659 0.2862890380729848 -0.17397908495373596 -1.815755739478113 
1592726095594 0.26214333223670155 -0.031592967915126904 -1.757020151792393 
000
1592726095599 0.26068767227439515 -0.030679434574519538 -1.7563525108876445 
000
1592726095611 0.2567266459129053 -0.027033072651696927 -1.754659321650171 
000
1592726095621 0.2545753619583316 -0.024437235592910465 -1.7536221005923094 
000
1592726095630 0.2536552065823161 -0.023212846727435947 -1.7530782205741184 
000
1592726095641 0.2515064011134509 -0.020066871119182653 -1.7512780602464109 
000
1592726095652 0.25052315387424323 -0.018485907028595306 -1.7499981901241295 
000
1592726095751 0.25471675356623796 -0.014374661184159563 -1.7469691347392886 
000
1592726095851 0.25474501494403223 -0.008310217252167164 -1.737048451312534 
000
1592726095955 0.23921517471744155 -0.00529928414824592 -1.7240220308316885 
000
1592726096039 0.2334717064598905 -0.009617805436169103 -1.7304866713415812 
000
1592726096139 0.23042739425238212 -0.010628435700455524 -1.7316936619869017 
000
1592726096241 0.22838569018218383 -0.01481871544908834 -1.7333019471038082 
000
1592726096342 0.2362481063208019 -0.015632636652116488 -1.734560155163094 
000
1592726096442 0.23910677202482883 -0.02900762551784245 -1.731447528343504 
000
1592726096543 0.20893752426234205 0.020080670860455643 -1.7097751490545445 
000
1592726096644 0.21051130815660607 -0.03800290881401838 -1.7058235292773443 
000
1592726096745 0.05192335180183164 -0.3658059484479704 -1.777114655820101 
000
1592726096830 0.10199837685656425 -0.2596578165592259 -1.841281181681939 
000
1592726096934 0.11499443591183917 -0.30168043024365293 -1.7979401157275676 
000
1592726097036 0.17909128010319744 -0.2612849089332702 -1.6762986721615813 
000
1592726097084 0.19658176509584777 -0.2374850513031703 -1.6108631861183427 
000
1592726097184 0.201021884543681 -0.2630112992699463 -1.5314442927711833 
000
1592726097284 0.19813941015915215 -0.2857894068515186 -1.5725001742651605 
000
1592726097387 0.20996518162152955 -0.28474652885406676 -1.6095799012236838 
000
1592726097420 0.21552228854998356 -0.2790814324516775 -1.6171107923767378 
000
1592726097520 0.24384439436969627 -0.2642404851055968 -1.6430789920409758 
000
1592726097623 0.24478746738410548 -0.25788408003924324 -1.6562523614479363 
000
1592726097723 0.2461749204538739 -0.24682201525481245 -1.6653692378182716 
000
1592726097828 0.25265448282712083 -0.2385992565559382 -1.6777071881052368 
000
1592726097854 0.2540324562115467 -0.23556831415832705 -1.6795480462098613 
000
1592726097951 0.2554090800001797 -0.22329796686784303 -1.690900303823354 
000
1592726098051 0.26027431611566104 -0.21196920928942883 -1.6912212916472007 
000
1592726098152 0.25992138236291873 -0.20832150673052116 -1.690726692410453 
000
1592726098252 0.2613223410843909 -0.20822998538016696 -1.691058826323333 
000
1592726098352 0.2643487480004096 -0.20584251638824508 -1.6947316049359213 
000
1592726098434 0.26458371028125216 -0.2021286191919868 -1.699627805903204 
000
1592726098534 0.2675252198245977 -0.19862438235197702 -1.7009189731774852 
000
1592726098638 0.2668873571713773 -0.19979319547338006 -1.69882331524622 
000
1592726098664 0.26832860037754036 -0.1991890121985359 -1.6985229939990691 
000
1592726098767 0.269984057665202 -0.20080559229700773 -1.7000079062226974 
000
1592726098792 0.2704034162569649 -0.20247172222698245 -1.7005633213113962 
000
1592726098897 0.2757885568689752 -0.20719340046040632 -1.7014849701865877 
000
1592726098923 0.2782469448152177 -0.2091178296967757 -1.7009727826327397 
000
1592726099001 0.28177415530919214 -0.212415172163035 -1.7014792034573711 
000
1592726099100 0.2787144419884853 -0.21264056822125554 -1.701310680777877 
000
1592726099200 0.2768422554549885 -0.20779989697805884 -1.7043034219774498 
000
1592726099300 0.284517577518952 -0.20388871954728238 -1.707321185008677 
000
1592726099400 0.2868483354664505 -0.2036216735300736 -1.715060348690914 
000
1592726099500 0.2880044186760657 -0.20362463721838367 -1.725535909456913 
000
1592726099604 0.28905625638666904 -0.20867947583634242 -1.7414168717815885 
000
1592726099704 0.28960015040594766 -0.20930973990980972 -1.742262225240515 
000
1592726099804 0.28553016480897997 -0.21138158496750084 -1.7324501589839967 
000
1592726099902 0.2896313780616634 -0.20775073721664936 -1.7091872700633624 
000
1592726100002 0.279097719525964 -0.2304512304659155 -1.6704268582032857 
000
1592726100104 0.26842429707723653 -0.23997558880295794 -1.6404000152153189 
000
1592726100204 0.26625621188994497 -0.2350897959013608 -1.6212072486924214 
000
1592726100304 0.25601362342078576 -0.2343254387782237 -1.6047820223532638 
000
1592726100404 0.25490975689930007 -0.22849767559613857 -1.6001683920783933 
000
1592726100504 0.2536640850961814 -0.22158774588241853 -1.6047389735423379 
000
1592726100603 0.2630834178751174 -0.2130291596803858 -1.606258659436877 
000
1592726100703 0.2842468416586434 -0.19876272986152044 -1.5963118559951235 
000
1592726100803 0.27649732072124206 -0.19958314375545577 -1.5771498976629093 
000
1592726100903 0.25421293489512164 -0.20153275790896052 -1.5600432606425696 
000
1592726101006 0.24713826403372866 -0.1954595609064247 -1.5453427402334543 
000
1592726101083 0.2365123360770209 -0.1994260109670602 -1.5351043862582938 
000
1592726101186 0.2277596348075381 -0.20451483590665423 -1.528539667476825 
000
1592726101236 0.2245429551624765 -0.20995725074581367 -1.5330295775367866 
000
1592726101286 0.22417227307863533 -0.21052634821042074 -1.5404637401382393 
000
1592726101345 0.21728931634830198 -0.2050949712060813 -1.5543487482964997 
000
1592726101437 0.20161671149123547 -0.18589626926871536 -1.5823913125593796 
000
1592726101478 0.19654244370367152 -0.17464834935197718 -1.5926001337318823 
000
1592726101587 0.16220862029812524 -0.1497097614890156 -1.6108792875155176 
000
1592726101623 0.15736287595965578 -0.14659637527654315 -1.6134017748566447 
000
1592726101723 0.16856212245447488 -0.13866660868156 -1.6060946139609136 
